UID,DBType,Instance,DBName,Schema,Table,Column,ColumnType
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,State,StateHourly_D461F6AFA87B4259B908B29DA01EDE5C,InRedStateMilliseconds,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,State,StateHourly_D461F6AFA87B4259B908B29DA01EDE5C,InYellowStateMilliseconds,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,State,StateHourly_D461F6AFA87B4259B908B29DA01EDE5C,InDisabledStateMilliseconds,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,State,StateHourly_D461F6AFA87B4259B908B29DA01EDE5C,InPlannedMaintenanceMilliseconds,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,State,StateHourly_D461F6AFA87B4259B908B29DA01EDE5C,InUnplannedMaintenanceMilliseconds,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,State,StateHourly_D461F6AFA87B4259B908B29DA01EDE5C,HealthServiceUnavailableMilliseconds,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,State,StateHourly_D461F6AFA87B4259B908B29DA01EDE5C,IntervalEndHealthState,tinyint
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Win7,Win7ClientPerfAggregationRCTimeBreakdown_C67092E49E284E0E954B46A24A90D543,Win7ClientPerfAggregationRCTimeBreakdownRowId,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Win7,Win7ClientPerfAggregationRCTimeBreakdown_C67092E49E284E0E954B46A24A90D543,DateTime,datetime
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Win7,Win7ClientPerfAggregationRCTimeBreakdown_C67092E49E284E0E954B46A24A90D543,NumEvents,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Win7,Win7ClientPerfAggregationRCTimeBreakdown_C67092E49E284E0E954B46A24A90D543,AvgTime,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Win7,Win7ClientPerfAggregationRCTimeBreakdown_C67092E49E284E0E954B46A24A90D543,AvgTotalTime,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Win7,Win7ClientPerfAggregationRCTimeBreakdown_C67092E49E284E0E954B46A24A90D543,EventDataRowId,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,State,StateHourly_2E4628494EBA49C5B912AE4A20273C34,StateHourlyRowId,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,State,StateHourly_2E4628494EBA49C5B912AE4A20273C34,DateTime,datetime
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,State,StateHourly_2E4628494EBA49C5B912AE4A20273C34,ManagedEntityMonitorRowId,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,State,StateHourly_2E4628494EBA49C5B912AE4A20273C34,InRedStateMilliseconds,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,State,StateHourly_2E4628494EBA49C5B912AE4A20273C34,InYellowStateMilliseconds,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,State,StateHourly_2E4628494EBA49C5B912AE4A20273C34,InDisabledStateMilliseconds,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,State,StateHourly_2E4628494EBA49C5B912AE4A20273C34,InPlannedMaintenanceMilliseconds,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,State,StateHourly_2E4628494EBA49C5B912AE4A20273C34,InUnplannedMaintenanceMilliseconds,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,State,StateHourly_2E4628494EBA49C5B912AE4A20273C34,HealthServiceUnavailableMilliseconds,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,State,StateHourly_2E4628494EBA49C5B912AE4A20273C34,IntervalEndHealthState,tinyint
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,apm,CSJSCRIPTEVENT,CSJSCRIPTEVENTID,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,apm,CSJSCRIPTEVENT,CSEVENTID,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,apm,CSJSCRIPTEVENT,ACTION,nvarchar(255)
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,apm,CSJSCRIPTEVENT,TOTALTIME,decimal
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,apm,CSJSCRIPTEVENT,UTCDATE,datetime
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,apm,CSJSCRIPTEVENT,SOURCEID,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Vista,ClientPerfAggregationAppTimeBreakdown_AEA9402CCF594F90B23A8622C12AC14D,ClientPerfAggregationAppTimeBreakdownRowId,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Vista,ClientPerfAggregationAppTimeBreakdown_AEA9402CCF594F90B23A8622C12AC14D,DateTime,datetime
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Vista,ClientPerfAggregationAppTimeBreakdown_AEA9402CCF594F90B23A8622C12AC14D,NumEvents,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Vista,ClientPerfAggregationAppTimeBreakdown_AEA9402CCF594F90B23A8622C12AC14D,AvgTime,int
